No.,Temple Name,Type,Temple Address,Villages,Districts,Regency,Province,Pos code,Latitude,Longitude
1,Air Penyejuk Jiwa/Tirta PadPad,,"Tianyar Barat, Kubu, Karangasem",Tianyar Barat,Kubu,Karangasem,Bali,80652,-8.205923,115.4461296
2,Air Terjun Pesucian Manggaan,,"Nongan, Rendang, Karangasem",Nongan,Nongan,Karangasem,Bali,80863,-8.4340686,115.415409
3,Alas Malang,Sanggah?,"Tempos, Gerung, Lombok Barat",Tempos,Gerung,Lombok Barat,NTB,83363,-8.7022856,116.1385612
4,Apit Lawang Desa Adat Pegubugan,,"Unnamed Road, Duda, Selat, Karangasem",Duda,Selat,Karangasem,Bali,80862,-8.4403041,115.4924531
5,Arya Jelantik Apuan,,"Jl. Desa Apuan, Apuan, Susut, Bangli",Apuan,Susut,Bangli,Bali,80661,-8.4798289,115.3306122
6,Arya Kanuruhan - Tangkas Kori Agung Banjar Keridan,,"Keridan, Senganan, Penebel, Tabanan",Senganan,Penebel,Tabanan,Bali,82191,-8.3782721,115.1670212
7,Arya Kenceng,,"Cepik, Tajen, Penebel, Tabanan",Tajen,Penebel,Tabanan,Bali,82181,-8.4572277,115.148056
8,Arya Kepakisan - Nyuh Aya Jungutbatu,,"Nusa Lembongan, Jungutbatu, Nusapenida, Klungkung",Jungutbatu,Nusa Penida,Klungkung,Bali,80771,-8.6786577,115.4484957
9,"Arya Pedharman Kanuruhan (Brangsinga, Tangkas Kori Agung, Pagatepan)",,"Pempatan, Rendang, Karangasem",Pempatan,Rendang,Karangasem,Bali,80863,-8.3735009,115.4541391
10,"Arya Pemecutan, Sri Kresna Kepakisan",,"Jagaraga, Sawan, Buleleng",Jagaraga,Sawan,Buleleng,Bali,81171,-8.1094179,115.1613066
11,Arya Sentong Tembuku,,"Tembuku, Bangli",0,Tembuku,Bangli,Bali,80671,-8.4275483,115.3848281
12,Arya Sukahet,,"Kubu, Bangli, Bangli",Kubu,Bangli,Bangli,Bali,80613,-8.4330288,115.3607966
13,Arya Tegeh Kori Munduk Bestala,,"Unnamed Road, Munduk Bestala, Seririt, Buleleng",Munduk Bestala,Seririt,Buleleng,Bali,81152,-8.24058,114.983268
14,Arya Wang Bang Pinatih,,"Jl. Puputan No.121, Tojan, Klungkung, Klungkung",Tojan,Klungkung,Klungkung,Bali,80716,-8.5496714,115.4025196
15,Ashram Amrtham Gauri,Ashram,"Ubud, Gianyar",Ubud,Ubud,Gianyar,Bali,80571,-8.5187495,115.2558725
16,Ashram Bhama Shanti,Ashram,"Jl. Raya Senganan, Senganan, Penebel, Tabanan",Senganan,Penebel,Tabanan,Bali,82191,-8.363767,115.1592359
17,Ashram Jalananda,Ashram,"Sesaot, Narmada, Lombok Barat",Sesaot,Narmada,Lombok Barat,NTB,83371,-8.5395991,116.2330506
18,Ashram Jaya Brahmni dusun Pengendan,Ashram,"Pelangan, Central Sekotong, Lombok Barat",Pelangan,Sekotong Tengah,Lombok Barat,NTB,83365,-8.8155791,115.9525533
19,Ashram Lombok Suranadi,Ashram,"Suranadi, Narmada, Lombok Barat",Suranadi,Narmada,Lombok Barat,NTB,83371,-8.5563664,116.2489289
20,Asih Widhi Dupa Ratu Niang,Sanggah?,"Apuan, Baturiti, Tabanan",Apuan,Baturiti,Tabanan,Bali,82191,-8.3725728,115.1780975
21,Pura Kawitan Arya Wang Bang Pinatih,Pura Kawitan,"Jl. Pengembungan, Pejeng Kangin, Tampaksiring, Gianyar",Pejeng Kangin,Tampaksiring,Gianyar,Bali,80552,-8.4750655,115.3027112
22,Badung peninggar,Pribadi,"Peninggar, Dusun Dungkap1, Batukandik, Nusapenida, Klungkung",Batukandik,Nusapenida,Klungkung,Bali,80771,-8.7666526,115.5436631
23,Balai Banjar Desa Gentong,Balai Banjar,"Jl. Raya Gentong, Tegallalang, Tegallalang, Gianyar",Tegallalang,Tegallalang,Gianyar,Bali,80561,-8.4825667,115.2777548
24,Balai Banjar Adat Kalot,Balai Banjar,"Jl. Gn. Agung, Muncan, Selat, Karangasem",Muncan,Selat,Karangasem,Bali,80862,-8.4358752,115.4494609
25,Balai Banjar Binyan,Balai Banjar,"Binyan, Kintamani, Bangli",Binyan,Kintamani,Bangli,Bali,0,-8.2729952,115.2633921
26,Balai Banjar Bujak,Balai Banjar,"Sepang Kelod, Busungbiu, Buleleng",Sepang Kelod,Busungbiu,Buleleng,Bali,81154,-8.3413029,114.9179306
27,Balai Banjar Desa Penarukan,Balai Banjar,"Peninjoan, Tembuku, Bangli",Peninjoan,Tembuku,Bangli,Bali,80671,-8.4131953,115.4056025
28,Balai Banjar Dinas Pakudansih,Balai Banjar,"Unnamed Road, Muncan, Selat, Karangasem",Muncan,Selat,Karangasem,Bali,80862,-8.4378498,115.4523069
29,"Balai Banjar Dukuh, Desa Pejaten",Balai Banjar,"Unnamed Road, Pejaten, Kediri, Tabanan",Pejaten,Kediri,Tabanan,Bali,82112,-8.5734862,115.1046674
30,Balai Banjar Gunung Sari,Balai Banjar,"Sepang Kelod, Busungbiu, Buleleng",Sepang Kelod,Busungbiu,Buleleng,Bali,81154,-8.3193501,114.896935
31,Balai Banjar Keden,Balai Banjar,"Jl. Raya Ketewel No.24, Ketewel, Sukawati, Gianyar",Ketewel,Sukawati,Gianyar,Bali,80582,-8.6288309,115.2888419
32,Balai Banjar Kedungu,Balai Banjar,"Jl. Pantai Kedungu No.99, Belalang, Kediri, Tabanan",Belalang,Kediri,Tabanan,Bali,82121,-8.6018242,115.0913313
33,Balai Banjar Pengayehan Desa Cemagi,Balai Banjar,"Jl. Sukunan No.2, Cemagi, Mengwi, Badung",Cemagi,Mengwi,Badung,Bali,80351,-8.6295065,115.1148796
34,Balai Banjar Sari Tengah,Balai Banjar,"Pancasari, Sukasada, Buleleng",Pancasari,Sukasada,Buleleng,Bali,81161,-8.2497396,115.149336
35,Balai Banjar Sinoman Galuh Mantri,Balai Banjar,"Jl. Raya Celuk No.11x, Celuk, Sukawati, Gianyar",Celuk,Sukawati,Gianyar,Bali,80582,-8.6005151,115.2719295
36,Balai Banjar Tangkup,Balai Banjar,"Bukian, Payangan, Gianyar",Bukian,Payangan,Gianyar,Bali,80572,-8.4293938,115.2512501
37,Balai Banjar Tanglad,Balai Banjar,"Tanglad, Nusapenida, Klungkung",Tanglad,Nusapenida,Klungkung,Bali,80771,-8.7736316,115.5833384
38,Balai Banjar Tengah Desa Buduk,Balai Banjar,"Jl. Tunon No.6, Buduk, Mengwi, Badung",Buduk,Mengwi,Badung,Bali,80351,-8.6048465,115.1630926
39,Balai Banjar Manuk,Balai Banjar,"Susut, Bangli",Susut,Susut,Bangli,Bali,80661,-8.4425763,115.3339054
40,Pura Subak Abian Mertha Sari,Pura Subak,"Mungsengan, Catur, Kintamani, Bangli",Catur,Kintamani,Bangli,Bali,80353,-8.2421766,115.2433483
41,Balai Santi Dharma Laksana Asah Badung,Balai Santi,"Sepang Kelod, Busungbiu, Buleleng",Sepang Kelod,Busungbiu,Buleleng,Bali,81154,-8.3301022,114.9064535
42,Balai Santi Babakan,Balai Santi,"Unnamed Road, Sepang Kelod, Busungbiu, Buleleng",Sepang Kelod,Busungbiu,Buleleng,Bali,81154,-8.3352584,114.8991441
43,Balai Santi Munduk Lantang,Balai Santi,"Sepang Kelod, Busungbiu, Buleleng",Sepang Kelod,Busungbiu,Buleleng,Bali,81154,-8.3302839,114.8991139
44,Pura Dalem Balangan,Pura Dalem,"Jl. Pantai Balangan, Jimbaran, Badung, Badung",Jimbaran,Badung,Badung,Bali,80361,-8.791394,115.1243253
45,Balai Banjar ambengan linggah,Balai Banjar,"Sakti, Nusapenida, Klungkung",Sakti,Nusapenida,Klungkung,Bali,80771,-8.6905299,115.4907767
46,Balai Banjar Jasri,Balai Banjar,"Tri Eka Buana, Sidemen, Karangasem",Tri Eka Buana,Sidemen,Karangasem,Bali,80864,-8.4951262,115.4494261
47,Balai Banjar Kedewatan Anyar,Balai Banjar,"Jl. Kedewatan, Kedewatan, Ubud, Gianyar",Kedewatan,Ubud,Gianyar,Bali,80571,-8.4938263,115.2451621
48,Balai Banjar Lepa,Balai Banjar,"Batumadeg, Nusapenida, Klungkung",Batumadeg,Nusapenida,Klungkung,Bali,80771,-8.7458304,115.5068133
49,Balai Banjar Lumbuan,Balai Banjar,"Banjar Dinas Lumbuan, Sulahan, Susut, Bangli",Sulahan,Susut,Bangli,Bali,80661,-8.4079064,115.3477411
50,Balai Banjar Ulundesa,Balai Banjar,"No., Jl. Tanah Lot No.15, Beraban, Kediri, Tabanan",Beraban,Kediri,Tabanan,Bali,82121,-8.5961606,115.1078414
51,Balai Sanghyang,,"Seraya, Karangasem, Karangasem",Seraya,Karangasem,Karangasem,Bali,80811,-8.4318127,115.6556823
52,Balai Subak Abian Tri Loka Phala Seraya,Subak Abian,"Banjar Dinas Batugunung, Karangsem, Bukit, Karangasem, Karangasem",Bukit,Karangasem,Karangasem,Bali,80852,-8.4077266,115.6400547
53,Balaijajar Desa Selumbung,,"Jl. Raya Selumbung, Selumbung, Manggis, Karangasem",Selumbung,Manggis,Karangasem,Bali,80871,-8.4708127,115.5380791
54,Bali Rice Temple,Sanggah?,"Ubud, Gianyar",0,Ubud,Gianyar,Bali,80571,-8.4922681,115.2626729
55,Bali Temple process coconut oil,Sanggah?,"Jl. Sesandan, Megati, Selemadeg Timur, Tabanan",Megati,Selemadeg Timur,Tabanan,Bali,82162,-8.4654165,115.054154
56,"Bandem Balairan, Ungasan, Kuta Selatan Badung Bali",Sanggah?,"Ungasan, South Kuta, Badung",South Kuta,0,Badung,Bali,80361,-8.8278092,115.1647207
57,Bangkah Rock Village,Sanggah?,"Pacung, Tejakula, Buleleng",Tejakula,0,Buleleng,Bali,81173,-8.1006079,115.2775381
58,Bangkiang Jaran,Sanggah?,"Unnamed Road, Dawan Kaler, Dawan",Dawan Kaler,Dawan,Klungkung,Bali,80761,-8.5291633,115.4493317
59,Banjar Adat Penutuk,Balai Banjar,"Batumadeg, Nusapenida, Klungkung, Bali, 80771",Batumadeg,Nusapenida,Klungkung,Bali,80771,-8.7432592,115.5093349
60,Banjar Adat Tukad Saang,Balai Banjar,"Unnamed Road, Pejukutan, Nusapenida, Klungkung, Bali, 80771",Pejukutan,Nusapenida,Klungkung,Bali,80771,-8.7501702,115.5737171
61,Banjar Badung,Balai Banjar,"Yeh Embang Kauh, Mendoyo, Jembrana, Bali, 82261",Yeh Embang Kauh,Mendoyo,Jembrana,Bali,82261,-8.330486,114.744904
62,Banjar Bantas Kaja,Balai Banjar,"Jl. Raya Sibanggede VII No.2, Sibang Gede, Abiansemal, Badung, Bali, 80352",Sibang Gede,Abiansemal,Badung,Bali,80352,-8.5739593,115.2205256
63,Banjar Bantas Kelod,Balai Banjar,"Banjar Bantas Kelod, Sibang Gede, Abiansemal, Badung, Bali, 80352",Sibang Gede,Abiansemal,Badung,Bali,80352,-8.5763172,115.2215213
64,Banjar Bantas Kelod Sibanggede,Balai Banjar,"Banjar Bantas Kelod, Sibang Gede, Abiansemal, Badung, Bali, 80352",Sibang Gede,Abiansemal,Badung,Bali,80352,-8.5758283,115.2203586
65,Banjar Bukit,Balai Banjar,"Bukit, Karangasem, Karangasem, Bali, 80811",Bukit,Karangasem,Karangasem,Bali,80811,-8.4196624,115.635155
66,Banjar Buluh,Balai Banjar,"Jl. Nakula No.3, Wismakerta, Sidemen, Karangasem, Bali, 80864",Wismakerta,Sidemen,Karangasem,Bali,80864,-8.4949186,115.4223402
67,Banjar Dajan Peken,Balai Banjar,"Jl. Oleg, Penarungan, Mengwi, Badung, Bali, 80352",Penarungan,Mengwi,Badung,Bali,80352,-8.5373121,115.1993359
68,Banjar dangin pangkung kaba kaba,Balai Banjar,"Kaba-Kaba, Kediri, Tabanan, Bali, 82121",Kaba-Kaba,Kediri,Tabanan,Bali,82121,-8.5930167,115.1422148
69,Banjar Dharma Yasa,Balai Banjar,"Unnamed Road, Monjok, Selaparang, Kota Mataram",Monjok,Selaparang,Kota Mataram,NTB,0,-8.5726525,116.1105494
70,Banjar Dinas Lebu Babakan,Balai Banjar,"Lokasari, Sidemen, Karangasem, Bali, 80761",Lokasari,Sidemen,Karangasem,Bali,80761,-8.5154334,115.4232605
71,Banjar Dinas Mekar Sari,Balai Banjar,"Laba Sari, Abang, Karangasem, Bali, 80852",Laba Sari,Abang,Karangasem,Bali,80852,-8.3246197,115.6213932
72,Banjar Dinas poh desa bhuana giri,Balai Banjar,"Unnamed Road, Budakeling, Bebandem, Karangasem, Bali, 80861",Budakeling,Bebandem,Karangasem,Bali,80861,-8.3666867,115.5590517
73,Banjar Dinas Sebuluh Kawan,Balai Banjar,"Sebuluh., Bunga Mekar, Nusapenida, Klungkung, Bali, 80771",Bunga Mekar,Nusapenida,Klungkung,Bali,80771,-8.7518236,115.4911113
74,Banjar Gede,Balai Banjar,"Jl. Raya Penarungan, Lukluk, Mengwi, Badung, Bali, 80351",Lukluk,Mengwi,Badung,Bali,80351,-8.5718208,115.193895
75,Banjar Gelang,Balai Banjar,"Suwug, Sawan, Buleleng, Bali, 81119",Suwug,Sawan,Buleleng,Bali,81119,-8.1355959,115.1538302
76,Banjar Gula Kelod,Balai Banjar,"Budakeling, Bebandem, Karangasem, Bali, 80861",Budakeling,Bebandem,Karangasem,Bali,80861,-8.3993359,115.5524767
77,Banjar Gunung Embid,Balai Banjar,"Jl. Raya Mekaki, Pelangan, Sekotong Tengah, Lombok Barat, NTB, 83365",Pelangan,Sekotong Tengah,Lombok Barat,NTB,83365,-8.809023,115.9430746
78,Banjar Kancil Desa Rdat Kerdobokan,Balai Banjar,"Gg. 21, Kerobokan, Kuta Utara, Badung, Bali, 80361",Kerobokan,Kuta Utara,Badung,Bali,80361,-8.6491598,115.1694134
79,Banjar Karya Jati Laksana (Kr.Swela),Balai Banjar,"Tanjung, North Lombok, NTB 83352",0,0,Lombok Utara,NTB,83352,-8.3596844,116.1587291
80,Banjar Kumara Dharma Laksana,Balai Banjar,"Unnamed Road, Tanjung, Lombok Utara, NTB, 83352",0,Tanjung,Lombok Utara,NTB,83352,-8.3546687,116.1549322
81,Banjar Lebah Marga Duur Perigi,Balai Banjar,"Marga, Tabanan, Bali, 82181",0,Marga,Tabanan,Bali,82181,-8.4704671,115.1677073
82,Banjar Lembongan,Balai Banjar,"Jl. Raya Mekaki, Pelangan, Sekotong Tengah, Lombok Barat, NTB, 83365",Pelangan,Sekotong Tengah,Lombok Barat,NTB,83365,-8.790841,115.9304726
83,Banjar Mekar Sari Tangkeban RT05,Balai Banjar,"Merembu, Labuapi, Lombok Barat, NTB 83362",Merembu,Labuapi,Lombok Barat,NTB,83362,-8.625448,116.1636129
84,Banjar Mijil,Balai Banjar,"Sangkan Gunung, Sidemen, Karangasem, Bali, 80864",Sangkan Gunung,Sidemen,Karangasem,Bali,80864,-8.4509121,115.4414371
85,Banjar Nagi,Balai Banjar,"Unnamed Road, Wismakerta, Sidemen, Karangasem, Bali, 80864",Wismakerta,Sidemen,Karangasem,Bali,80864,-8.492812,115.4235291
86,Banjar Pengipian,Balai Banjar,"Jl. Gn. Tangkuban Perahu No.69, Kerobokan Kelod, Kuta Utara, Badung, Bali, 80361",Kerobokan Kelod,Kuta Utara,Badung,Bali,80361,-8.6768322,115.1744416
87,Banjar Petingan,Balai Banjar,"Jl. Rahayu No.6, Kerobokan Kaja, Kuta Utara, Badung, Bali, 80361",Kerobokan Kaja,Kuta Utara,Badung,Bali,80361,-8.6448043,115.1729131
88,Banjar Sentalkangin,Balai Banjar,"Jl. Sentalkangin, Ped, Nusapenida, Klungkung, Bali, 80771",Ped,Nusapenida,Klungkung,Bali,80771,-8.6867752,115.536956
89,Banjar Sentalkawan,Balai Banjar,"Ped, Nusapenida, Klungkung, Bali, 80771",0,Nusapenida,Klungkung,Bali,80771,-8.6866956,115.5293536
90,Banjar Seraya Pagesangan,Balai Banjar,"Jl. Guru Bangkol No.66, Pagesangan Timur, Mataram, Kota Mataram, NTB, 83117",Pagesangan Timur,Mataram,Kota Mataram,NTB,83117,-8.5988912,116.1059377
91,Banjar Suka Duka,Balai Banjar,"Biskop, Jalan, Jl. Raya Tj., Jenggala, Tanjung, Lombok Utara, NTB, 83352",0,Tanjung,Lombok Utara,NTB,83352,-8.35397,116.1561213
92,Banjar Tanglad (Pura),Balai Banjar,"Unnamed Road, Tanglad, Nusapenida, Klungkung, Bali, 80771",Tanglad,Nusapenida,Klungkung,Bali,80771,-8.7730474,115.583321
93,Banjar Tanjung,Balai Banjar,"Jl. Danau Poso No.7, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali",Sanur Kauh,Denpasar Selatan,Kota Denpasar,Bali,0,-8.7047301,115.2481567
94,Banyan Spirit Tree Temple,Sanggah?,"Jalan Spirit Tree, Wanagiri, Sukasada, Buleleng, Bali, 81161",Wanagiri,Sukasada,Buleleng,Bali,81161,-8.2371455,115.1038611
95,Pura Batu Bintang,,Jl. Pulau Selayar No.46,Dauh Puri Klod,Denpasar Barat,Kota Denpasar,Bali,80113,-8.6724429,115.2131932
96,Pura Batu Mejan,,Jl. Batu Mejan Canggu,Canggu,Kuta Utara,Badung,Bali,80361,-8.6554368,115.1256942
97,Batu palungan,,Jl. Pekutatan,Manggissari,Pekutatan,Jembrana,Bali,82262,-8.3936277,114.8764982
98,Batu Sanghyang,,Jl. Tunjung Bang,Bungaya,Bebandem,Karangasem,Bali,80861,-8.458209,115.5784561
99,Batu Tumpeng,,"Seraya, Karangasem, Karangasem, Bali, 80811",Seraya,Karangasem,Karangasem,Bali,80811,-8.4227595,115.6607573
100,Batuan Temple,,"Jl. Raya Batuan, Batuan, Sukawati, Gianyar, Bali, 80582",Batuan,Sukawati,Gianyar,Bali,80582,-8.5818712,115.2760052
101,Batur Panti Temple,,"Jl. Trengguli, Penatih, Denpasar Timur, Kota Denpasar, Bali, 80237",Penatih,Denpasar Timur,Kota Denpasar,Bali,80237,-8.6324625,115.2428471
102,Batur Taman,,"Anggasari, Munduk Temu, Pupuan, Tabanan, Bali, 82163",Munduk Temu,Pupuan,Tabanan,Bali,82163,-8.3583463,114.9645389
103,Batur Temple,,"Gg. Mangga III, Tibubeneng, Kuta Utara, Badung, Bali, 80361",Tibubeneng,Kuta Utara,Badung,Bali,80361,-8.6352354,115.1553993
104,Bayuangga,,"Wanasari, Tabanan, Tabanan, Bali, 82181",Wanasari,Tabanan,Tabanan,Bali,82181,-8.4890572,115.1355466
105,Beautiful White Temple,,"Kutuh, South Kuta, Badung, Bali, 80361",Kutuh,South Kuta,Badung,Bali,80361,-8.8335914,115.1782357
106,"Beji Banjar Adat Mengening Bedelodan, Nyitdah Kediri",Pura Beji,"Unnamed Road, Nyitdah, Kediri, Tabanan, Bali, 82121",Nyitdah,Kediri,Tabanan,Bali,82121,-8.5860222,115.1149171
107,Beji Banjar Durentaluh,Pura Beji,"Belimbing, Pupuan, Tabanan, Bali, 82163",Belimbing,Pupuan,Tabanan,Bali,82163,-8.4147428,115.0311504
108,Beji Banjar Tatag Desa Guwang,Pura Beji,"Guwang, Sukawati, Gianyar, Bali, 80582",Guwang,Sukawati,Gianyar,Bali,80582,-8.6246634,115.2876951
109,Beji Batan Ancak Mas Ubud,Pura Beji,"MAS, Ubud, Gianyar, Bali, 80571",MAS,Ubud,Gianyar,Bali,80571,-8.5337768,115.2716957
110,Beji Jepun,Pura Beji,"Ababi, Abang, Karangasem, Bali, 80852",Ababi,Abang,Karangasem,Bali,80852,-8.4084743,115.5908925
111,Beji Kahyangan Demung,Pura Beji,"Jl. Rambutan No.16, Delod Peken, Tabanan, Tabanan, Bali, 82121",Delod Peken,Tabanan,Tabanan,Bali,82121,-8.5535854,115.1278483
112,Beji Kayangan Jagat Dalem Pura Kubontingguh Tabanan,Pura Beji,"Jl. kubontingguh, Denbantas, Tabanan, Tabanan, Bali, 82123",Denbantas,Tabanan,Tabanan,Bali,82123,-8.5122847,115.1394854
113,Beji Klaci,Pura Beji,"Duda Timur, Selat, Karangasem, Bali, 80862",Duda Timur,Selat,Karangasem,Bali,80862,-8.4447527,115.5021483
114,Beji Lingga Jati Desa Adat Ipah,Pura Beji,"Unnamed Road, Sangkan Gn., Sidemen, Karangasem, Bali, 80864",Sangkan Gn.,Sidemen,Karangasem,Bali,80864,-8.4499294,115.4459573
115,Beji Manikan,Pura Beji,"Jl. Raya Guwang No.1, Guwang, Sukawati, Gianyar, Bali, 80582",Guwang,Sukawati,Gianyar,Bali,80582,-8.623957,115.2842231
116,Beji Pakiisan Tukad Yeh Mawo (Puakanu0026Sandan),Pura Beji,"Tengkudak, Penebel, Tabanan, Bali, 82152",Tengkudak,Penebel,Tabanan,Bali,82152,-8.4148009,115.1102789
117,Beji Paku Meyeh,Pura Beji,"Samplangan, Gianyar, Bali, 80512",0,Samplangan,Gianyar,Bali,80512,-8.521333,115.3324121
118,Beji Panca Pendawa,Pura Beji,"Jl. Pantai Nyanyi, Beraban, Kediri, Tabanan, Bali, 82121",Beraban,Kediri,Tabanan,Bali,82121,-8.6286848,115.0992113
119,Beji pancoran jepun,Pura Beji,"Unnamed Road, Tajen, Penebel, Tabanan, Bali, 82181",Tajen,Penebel,Tabanan,Bali,82181,-8.4396509,115.1559261
120,Beji pancoran temen,Pura Beji,"pande, Tajen, Penebel, Tabanan, Bali, 82181",Tajen,Penebel,Tabanan,Bali,82181,-8.4365717,115.1555348
121,Beji Penglukatan Waringin Pitu,Pura Beji,"Jl. Sandat No.15, Kapal, Mengwi, Badung, Bali, 80351",Kapal,Mengwi,Badung,Bali,80351,-8.5624528,115.1790034
122,Beji Pitra Gangga Gunung Kangin,Pura Beji,"Unnamed Road, Bangli, Baturiti, Tabanan, Bali, 82191",Bangli,Baturiti,Tabanan,Bali,82191,-8.3331028,115.1817245
123,"Beji Pura Bandesa Manik Mas, Mengening Balairan. Nyitdah Kediri.",Pura Beji,"Jl. Dedela Nata, Nyitdah, Kediri, Tabanan, Bali, 82121",Nyitdah,Kediri,Tabanan,Bali,82121,-8.5856734,115.1154777
124,Beji Pura Dalem Ageng Abuan,Pura Beji,"Abuan, Susut, Bangli, Bali, 80661",Abuan,Susut,Bangli,Bali,80661,-8.4675054,115.3392822
125,Beji Pura Dalem Ds. Pakraman Nagasari,Pura Beji,"Banjar Dauhsiyong, Lumbung Kauh, Selemadeg Barat, Tabanan, Bali, 82162",Lumbung Kauh,Selemadeg Barat,Tabanan,Bali,82162,-8.4567457,114.9889125
126,Beji Pura Luhur Peneduhan Desa Pekraman Sanggulan,Pura Beji,"Banjar Anyar, Kediri, Tabanan, Bali, 82121",Banjar Anyar,Kediri,Tabanan,Bali,82121,-8.5486977,115.1301044
127,Beji Pura Puseh Luhur Bedha,Pura Beji,"Jl. Yeh Gangga I, Sudimara, Tabanan, Tabanan, Bali, 82115",Sudimara,Tabanan,Tabanan,Bali,82115,-8.5736371,115.0912188
128,Beji Pura Sekar,Pura Beji,"Tejakula, Buleleng, Bali, 81173",0,Tejakula,Buleleng,Bali,81173,-8.1194648,115.3452803
129,Beji Sawang Desa Dalem Abuan,Pura Beji,"Jl.  mundung, Abuan, Susut, Bangli, Bali, 80661",Abuan,Susut,Bangli,Bali,80661,-8.4651237,115.3273772
130,Beji Selati - Genah Melukat Pesiraman Pura Dalem Pingit,Pura Beji,"Jl. Banjar Selat, Bunutin, Bangli, Bangli, Bali, 80614",Bunutin,Bangli,Bangli,Bali,80614,-8.5189698,115.3351311
131,Beji Serongga Gede,Pura Beji,"Pangkung Karung, Kerambitan, Tabanan, Bali, 82161",Pangkung Karung,Kerambitan,Tabanan,Bali,82161,-8.5546565,115.0872706
132,Beji Suci,Pura Beji,"Duda, Selat, Karangasem, Bali, 80862",Duda,Selat,Karangasem,Bali,80862,-8.4419996,115.4998079
133,Pura Beji Sudamala Tambawaras,Pura Beji,"Unnamed Road, Sangketan, Penebel, Tabanan, Bali, 82152",Sangketan,Penebel,Tabanan,Bali,82152,-8.420384,115.100388
134,Pura Beji Sudhamala,Pura Beji,"Jl. Merpati, Tajen, Penebel, Tabanan, Bali, 82181",Tajen,Penebel,Tabanan,Bali,82181,-8.443435,115.153549
135,Pura Beji Taman,Pura Beji,"Gubug, Tabanan, Tabanan, Bali",Gubug,Tabanan,Tabanan,Bali,0,-8.5423236,115.1082012
136,Pura Beji Telepud,Pura Beji,"Beraban, Kediri, Tabanan, Bali, 82121",Beraban,Kediri,Tabanan,Bali,82121,-8.6039993,115.1097413
137,Pura Beji Temple,Pura Beji,"Jl. Raya Sangsit, Sangsit, Sawan, Buleleng, Bali, 81171",Sangsit,Sawan,Buleleng,Bali,81171,-8.0836764,115.1342333
138,Pura Beji Tirta Tawar,Pura Beji,"Ubud, Gianyar, Bali, 80571",0,Ubud,Gianyar,Bali,80571,-8.4821671,115.271598
139,Pura Beji Tirtha Harum,Pura Beji,"Serangan, Denpasar Selatan, Kota Denpasar, Bali, 80229",Serangan,Denpasar Selatan,Kota Denpasar,Bali,80229,-8.738656,115.2296093
140,Pura Beji toya tirta harum,Pura Beji,"Jl. Rapuan, MAS, Ubud, Gianyar, Bali, 80571",MAS,Ubud,Gianyar,Bali,80571,-8.5483038,115.2758101
141,Pura Beji toyo tabah,Pura Beji,"Jl. Merpati, Biaung, Penebel, Tabanan, Bali, 82181",Biaung,Penebel,Tabanan,Bali,82181,-8.4355046,115.155629
142,Pura Beji Tuun Kauh,Pura Beji,"Banjar Sarasidi, Sembung Gede, Kerambitan, Tabanan, Bali, 82152",Sembung Gede,Kerambitan,Tabanan,Bali,82152,-8.4932832,115.1023161
143,Pura Beji Yeh Bulan,Pura Beji,"Kesiut, Kerambitan, Tabanan, Bali, 82152",Kesiut,Kerambitan,Tabanan,Bali,82152,-8.4819629,115.1112938
144,"Beji, Pura Tangkas Kori Agung. Mengening Balairan. Nyitdah, Kediri",Pura Beji,"Jl. Dedela Nata, Nyitdah, Kediri, Tabanan, Bali, 82121",Nyitdah,Kediri,Tabanan,Bali,82121,-8.5856201,115.1157385
145,Bendesa Manik Mas,,"Jl. Tunjuk, Tunjuk, Tabanan, Tabanan, Bali, 82181",Tunjuk,Tabanan,Tabanan,Bali,82181,-8.4716318,115.1524165
146,Bendesa Manik Mas Desa Kelusa,,"Kelusa, Payangan, Gianyar, Bali, 80572",Kelusa,Payangan,Gianyar,Bali,80572,-8.4442687,115.2551391
147,Bendesa Mas Putih Mayong Bubunan,,"Lokapaksa, Seririt, Buleleng, Bali, 81153",Lokapaksa,Seririt,Buleleng,Bali,81153,-8.1986858,114.9370098
148,Besakih Mother Temple,,"Besakih, Rendang, Karangasem, Bali, 80863",Besakih,Rendang,Karangasem,Bali,80863,-8.3735095,115.4525767
149,Banjar Kayukapas,Balai Banjar,"Kintamani, Bangli, Bali, 80652",0,Kintamani,Bangli,Bali,80652,-8.2578515,115.318143
150,Banjar Tundak,Balai Banjar,"Banjar Tundak, Mekarsari, Baturiti, Tabanan, Bali, 82191",Mekarsari,Baturiti,Tabanan,Bali,82191,-8.3762377,115.1961461
151,"Banjar Bandung, Siangan",Balai Banjar,"Jl. Raya Siangan, Siangan, Gianyar, Gianyar, Bali, 80515",Siangan,Gianyar,Gianyar,Bali,80515,-8.5205002,115.3091268
152,Banjar Jepun Batumulapan Nusa Penida,Balai Banjar,"Batununggul, Nusapenida, Klungkung, Bali, 80771",Batununggul,Nusapenida,Klungkung,Bali,80771,-8.6847077,115.5732945
153,Banjar Landih,Balai Banjar,"Landih, Bangli, Bangli, Bali, 80614",Landih,Bangli,Bangli,Bali,80614,-8.3355384,115.3734231
